"Date","Title","Rating","Donated","Notes","In Library"
"Jun 2016","Aftershock (Halifax)","NEUTRAL","Y","","Y"
"Apr 2016","Dead Wake","UP+","Y","","Y"
"Apr 2016","CFCY: Into Thin Air","UP","","given to Aunt Dixie",""
"Apr 2016","First Four Notes","NEUTRAL","Y","","Y"
"Jul 2015","Alex Campbell/PEI","NEUTRAL","","",""
"Jun 2015","Sacred and Profane","UP","","",""
"Apr 2015","Good Luck Right Now","NEUTRAL","Y","","Y"
"Feb 2015","Maphead","NEUTRAL","Y","","Y"
"Jan 2015","Chris Hadfield","UP","Y","","Y"
"Dec 2014","The Big Short","UP","Y","","Y"
"Dec 2014","David & Goliath","UP+","Y","","Y"
"Dec 2014","Bobby Orr: My Story","NEUTRAL","Y","down on sport auto-bios","Y"
"Jan 2014","Appetite Destruction","DOWN","","",""
"Jan 2014","Etymologicon","UP","Y","","Y"
"Dec 2013","Power of Habit","UP","Y","","Y"
"Apr 2013","Liar's Poker","NEUTRAL","","",""
"Mar 2013","Brahms","UP","","way up on composer bios",""
"Dec 2012","1982","NEUTRAL","Y","painful in retro","Y"
"May 2012","Sex on the Moon","NEUTRAL","Y","","Y"
"Jan 2012","Born to Run","UP","Y","C/D Christmas 2011",""
"Dec 2011","Cornered","UP+","Y","",""
"Dec 2011","In Garden of Beasts","UP+","?","","Y"
"Nov 2011","Dreaming in Chinese","UP","Y","","Y"
"Oct 2011","Duddy Kravitz","NEUTRAL","","",""
"Oct 2011","In The Dark","PASS","","",""
"Sep 2011","Beowulf on Beach","UP","","",""
"Sep 2011","Pandemic","UP","","trashy fun",""
"Sep 2011","The Empty Chair","UP","Y","trashy fun","?"
"Aug 2011","Sweetheart","","Y","","Y"
"","100 Mysteries","","","",""
"","Into Thin Air","UP","Y","","Y"
"","Key Witness","UP","","trashy fun","Y"
"Mar 2011","Unbroken","UP+","","","Y"
"","Pioneers of Aviation","","","",""
"Feb 2011","The Brethern","","","","N"
"Jan 2011","Lottery","UP","","","Y"
"","What I Talk About When ... Running","UP","Y","",""
"","At Home","UP","Y","","Y"
"","Tommy Douglas","UP","","",""
"","Perfect Storm","UP","","",""
"","Microsoft book","UP","Y","",""
"","parasite book","UP","","",""
"","Germs book","","Y","",""
"","Laurier","NEUTRAL","Y","Pratte",""
"","World War Z","UP+","","",""
"","Premier Book of Major Poets","","Y","Anita Dore",""
"","Freud for Beginners","","Y","",""
"","Joni Mitchell songbook","","Y","",""
"","1000 Places To See Before You Die","","Y","Gila 2003","Y"
"","Walking the Bible","NEUTRAL","Y","",""
"","Mind Hacks","UP","Y","",""
"","Beethoven Piano Sonata scores","","Y","",""
"","Beethoven 1-4 Symphony scores","","Y","",""
"","In Search of Memory","UP+","Y","Kandel",""
"","Time, Love, Memory","UP+","Y","J Weiner",""
"","Basic Teachings of the Great Philosophers","UP","Y","Frost Jr",""
"","Brain Science","PASS","Y","",""
"","Nightwatch","UP","Y","astronomy book","Y"
"","Greatest Music Trivia Book Ever","PASS","Y","",""
"","Premier Who Rocked the Cradle","NEUTRAL","Y","autographed","Y"
"","Seven Habits of Effective People","PASS","Y","",""
"","David Suzuki","UP","Y","",""
"","Private Demons","UP","Y","",""
"","Shipwrecks and Seafaring Tales of PEI","PASS","Y","",""
