Date,kwh,days,usage,rate,notes
02-MAR-2021,88,28,3.14,1.35,""
02-FEB-2021,96,29,3.31,1.34,""
04-JAN-2021,106,33,3.21,1.22,""
02-DEC-2020,93,30,3.1,1.26,""
02-NOV-2020,99,32,3.09,1.21,""
01-OCT-2020,106,29,3.66,0,"awaiting PDF"
02-SEP-2020,48,30,1.6,1.05,"meter error"
03-AUG-2020,0,32,0,0.77,"meter error"
02-JUL-2020,212,31,6.83,1.78,""
01-JUN-2020,187,31,6.03,1.66,""
01-MAY-2020,177,30,5.90,1.67,""
01-APR-2020,161,29,5.55,1.65,""
03-MAR-2020,136,29,4.69,1.52,""
03-FEB-2020,149,32,4.66,1.44,""
02-JAN-2020,165,31,5.32,1.56,""
02-DEC-2019,164,31,5.29,1.55,""
01-NOV-2019,157,30,5.23,1.57,""
02-OCT-2019,152,29,5.24,1.60,""
01-SEP-2019,219,33,6.64,1.70,""
01-AUG-2019,198,29,6.83,1.83,""
03-JUL-2019,175,30,5.83,1.66,""
03-JUN-2019,184,33,5.58,1.55,""
01-MAY-2019,159,30,5.30,1.58,""
01-APR-2019,166,31,5.35,1.56,""
01-MAR-2019,156,28,5.57,1.68,""
01-FEB-2019,164,29,5.65,1.66,""
03-JAN-2019,163,31,5.26,1.55,""
03-DEC-2018,150,31,4.84,1.49,""
02-NOV-2018,168,31,5.42,1.57,""
02-OCT-2018,185,28,6.61,1.83,""
04-SEP-2018,306,33,9.27,2.08,""
02-AUG-2018,271,30,9.03,2.12,""
03-JUL-2018,212,32,6.63,1.72,""
01-JUN-2018,164,30,5.47,1.60,""
02-MAY-2018,168,29,5.79,1.68,""
02-MAY-2018,168,29,5.79,1.68,""
03-APR-2018,198,33,6.0,1.61,""
01-MAR-2018,169,28,6.04,1.75,""
01-FEB-2018,167,30,5.57,1.60,""
02-JAN-2018,153,32,4.78,1.44,""
01-DEC-2017,177,29,6.10,1.70,""
02-NOV-2017,199,31,6.42,1.69,""
02-OCT-2017,208,31,6.71,1.73,""
01-SEP-2017,256,30,8.53,2.01,""
02-AUG-2017,246,29,8.48,2.03,""
04-JUL-2017,248,32,7.75,1.85,""
02-JUN-2017,189,31,6.10,1.64,""
02-MAY-2017,152,29,5.24,1.58,""
03-APR-2017,169,33,5.12,1.46,""
01-MAR-2017,144,28,5.14,1.60,""
01-FEB-2017,162,29,5.59,1.60,""
03-JAN-2017,184,33,5.58,1.50,""
01-DEC-2016,164,30,5.47,1.56,""
01-NOV-2016,184,29,6.34,1.71,""
03-OCT-2016,247,32,7.72,1.81,""
01-SEP-2016,265,30,8.83,2.02,""
02-AUG-2016,252,29,8.69,2.03,""
01-JUL-2016,246,33,7.42,1.76,""
01-JUN-2016,186,30,6.20,1.66,""
01-MAY-2016,142,31,4.58,1.41,""
01-APR-2016,132,31,4.26,1.37,""
01-MAR-2016,128,28,4.57,1.50,""
02-FEB-2016,136,29,4.69,1.46,""
04-JAN-2016,152,33,4.61,1.35,""
02-DEC-2015,134,30,4.47,1.41,""
02-NOV-2015,166,32,5.19,1.45,""
01-OCT-2015,191,30,6.37,1.66,""
01-SEP-2015,257,29,8.86,2.01,""
03-AUG-2015,232,32,7.25,1.72,""
02-JUL-2015,181,31,5.84,1.56,""
01-JUN-2015,165,31,5.32,1.49,""
01-MAY-2015,169,30,5.63,1.56,""
01-APR-2015,173,30,5.77,1.58,""
02-MAR-2015,162,28,5.79,1.64,""
01-FEB-2015,175,31,5.65,1.51,""
01-JAN-2015,179,32,5.59,1.48,""
01-DEC-2014,191,28,6.82,,""
03-NOV-2014,225,33,6.81,,""
01-OCT-2014,247,29,8.52,,""
02-SEP-2014,303,32,9.47,,""
01-AUG-2014,245,30,8.17,,""
02-JUL-2014,190,30,6.33,,""
02-JUN-2014,189,32,5.91,,""
01-MAY-2014,164,30,5.47,,""
01-APR-2014,159,29,5.48,,""
03-MAR-2014,158,28,5.64,,""
03-FEB-2014,182,,,,""
